Name,Team,ERA,IP,TBF,HR,BB,HBP,SO
Noah Syndergaard,NYM,4.28,197.2,825,24,50,6,202
Blake Snell,TBR,4.29,107,441,14,40,1,147
Tyler Skaggs,LAA,4.29,79.2,335,9,28,2,78
Mike Leake,- - -,4.29,197,835,41,27,10,127
Joakim Soria,OAK,4.3,69,278,9,20,3,79
Jalen Beeks,TBR,4.31,104.1,464,12,40,9,89
Jonathan Hernandez,TEX,4.32,16.2,78,3,13,0,19
Jose Leclerc,TEX,4.33,68.2,299,7,39,6,100
Jose Cisnero,DET,4.33,35.1,162,5,19,3,40
Robbie Ray,ARI,4.34,174.1,747,30,84,5,235
Danny Duffy,KCR,4.34,130.2,555,21,46,8,115
Daniel Stumpf,DET,4.34,29,135,5,15,0,28
Tanner Roark,- - -,4.35,165.1,722,28,51,13,158
Williams Jerez,- - -,4.35,10.1,48,2,9,0,9
Luis Garcia,LAA,4.35,62,278,13,33,5,57
Jake McGee,COL,4.35,41.1,180,11,11,3,35
Sam Selman,SFG,4.35,10.1,44,2,6,2,10
Joe Jimenez,DET,4.37,59.2,257,13,23,4,82
Jacob Waguespack,TOR,4.38,78,335,12,29,5,63
Randy Rosario,- - -,4.4,14.1,63,2,5,0,13
Chris Sale,BOS,4.4,147.1,612,24,37,13,218
Tyler Olson,CLE,4.4,30.2,140,3,16,2,28
Austin Pruitt,TBR,4.4,47,193,7,12,0,39
Jon Duplantier,ARI,4.42,36.2,163,2,18,5,34
Merrill Kelly,ARI,4.42,183.1,777,29,57,2,158
Nick Vincent,- - -,4.43,44.2,194,8,12,4,47
Joe Musgrove,PIT,4.44,170.1,718,21,39,9,157
Trevor Gott,SFG,4.44,52.2,214,4,17,2,57
Andrew Miller,STL,4.45,54.2,236,11,27,8,70
Adam Cimber,CLE,4.45,56.2,244,6,19,4,41
Eric Lauer,SDP,4.45,149.2,651,20,51,5,138
Masahiro Tanaka,NYY,4.45,182,759,28,40,2,149
Jay Jackson,MIL,4.45,30.1,132,6,18,2,47
Darwinzon Hernandez,BOS,4.45,30.1,147,1,26,3,57
Jon Lester,CHC,4.46,171.2,764,26,52,5,165
Jeff Brigham,MIA,4.46,38.1,161,8,14,1,39
Jordan Yamamoto,MIA,4.46,78.2,325,11,36,5,82
Blaine Hardy,DET,4.47,44.1,182,10,13,0,29
Kevin McCarthy,KCR,4.48,60.1,268,4,21,2,38
Trevor Bauer,- - -,4.48,213,911,34,82,19,253
Wilmer Font,- - -,4.48,84.1,356,17,29,3,95
Daniel Norris,DET,4.49,144.1,610,25,38,4,125
Erick Fedde,WSN,4.5,78,334,11,33,2,41
Danny Salazar,CLE,4.5,4,17,2,3,0,2
Sam Freeman,LAA,4.5,2,11,1,2,0,0
Alex Avila,ARI,4.5,2,8,0,1,0,1
JC Ramirez,LAA,4.5,8,34,1,1,1,4
Joel Payamps,ARI,4.5,4,17,0,3,0,3
Adonis Rosa,NYY,4.5,2,7,1,0,0,2
Ty France,SDP,4.5,2,8,1,0,0,0
Mike Brosseau,TBR,4.5,4,18,1,0,1,0
Jason Vargas,- - -,4.51,149.2,649,21,63,6,124
Caleb Smith,MIA,4.52,153.1,646,33,60,6,168
Jairo Diaz,COL,4.53,57.2,245,7,19,2,63
Mike Foltynewicz,ATL,4.54,117,491,23,37,2,105
Greg Holland,ARI,4.54,35.2,152,5,24,0,41
Wander Suero,WSN,4.54,71.1,296,5,26,3,81
Jonathan Loaisiga,NYY,4.55,31.2,139,6,16,1,37
Blake Parker,- - -,4.55,61.1,255,13,22,3,65
Anthony Swarzak,- - -,4.56,53.1,234,12,27,0,52
Joe Kelly,LAD,4.56,51.1,226,6,22,3,62
Brandon Brennan,SEA,4.56,47.1,196,6,24,0,47
Matthew Boyd,DET,4.56,185.1,788,39,50,8,238
Mychal Givens,BAL,4.57,63,260,13,26,2,86
Homer Bailey,- - -,4.57,163.1,696,21,53,4,149
Ryan Burr,CHW,4.58,19.2,86,3,8,0,20
Paul Sewald,NYM,4.58,19.2,80,3,3,1,22
Felix Pena,LAA,4.58,96.1,407,16,34,6,101
Griffin Canning,LAA,4.58,90.1,384,14,30,8,96
Joe Biagini,- - -,4.59,64.2,281,14,26,1,60
Lucas Sims,CIN,4.6,43,177,8,19,2,57
Sam Gaviglio,TOR,4.61,95.2,392,18,22,4,88
Spencer Turnbull,DET,4.61,148.1,656,14,59,16,146
Mike Morin,- - -,4.62,50.2,210,6,10,4,26
Jefry Rodriguez,CLE,4.63,46.2,203,5,21,0,33
Jake Arrieta,PHI,4.64,135.2,594,21,51,7,110
Jake Diekman,- - -,4.65,62,282,3,39,11,84
Matt Carasiti,SEA,4.66,9.2,43,2,5,0,10
Javy Guerra,- - -,4.66,67.2,287,10,17,1,57
Josh Osich,CHW,4.66,67.2,272,15,15,0,61
Brusdar Graterol,MIN,4.66,9.2,40,1,2,1,10
Joel Kuhnel,CIN,4.66,9.2,42,1,5,0,9
Miguel Castro,BAL,4.66,73.1,319,10,41,0,71
Robert Gsellman,NYM,4.66,63.2,277,7,23,6,60
Andrew Cashner,- - -,4.68,150,636,19,58,4,108
Jose Quintana,CHC,4.68,171,745,20,46,2,152
Josh James,HOU,4.7,61.1,266,10,35,4,100
Collin McHugh,HOU,4.7,74.2,317,12,30,3,82
Colin Poche,TBR,4.7,51.2,207,9,19,5,72
Matt Strahm,SDP,4.71,114.2,487,22,22,7,118
Matt Andriese,ARI,4.71,70.2,310,8,27,3,79
Tony Sipp,WSN,4.71,21,92,1,9,1,18
Ivan Nova,CHW,4.72,187,806,30,47,9,114
Jace Fry,CHW,4.75,55,251,7,43,3,68
Jesus Tinoco,COL,4.75,36,161,12,22,1,28
Juan Nicasio,PHI,4.75,47.1,217,4,21,2,45
Yoshihisa Hirano,ARI,4.75,53,233,7,22,3,61
Tommy Milone,SEA,4.76,111.2,453,24,23,2,94
German Marquez,COL,4.76,174,721,29,35,5,175
Michael Wacha,STL,4.76,126.2,562,26,55,3,104
Brett Martin,TEX,4.76,62.1,280,7,18,2,62
T.J. Zeuch,TOR,4.76,22.2,99,2,11,0,20
Luke Bard,LAA,4.78,49,199,8,13,5,40
Tanner Scott,BAL,4.78,26.1,122,4,19,2,37
Dylan Bundy,BAL,4.79,161.2,700,29,58,6,162
Jose Alvarado,TBR,4.8,30,146,2,27,0,39
T.J. McFarland,ARI,4.82,56,250,6,20,1,35
Chris Devenski,HOU,4.83,69,298,13,21,3,72
Daniel Mengden,OAK,4.83,59.2,260,7,27,0,42
Caleb Ferguson,LAD,4.84,44.2,204,7,27,6,54
Kyle Gibson,MIN,4.84,160,706,23,56,7,160
Trent Thornton,TOR,4.84,154.1,677,24,61,5,149
Jesse Chavez,TEX,4.85,78,337,12,22,5,72
Drew Pomeranz,- - -,4.85,104,455,21,44,4,137
Ryan Brasier,BOS,4.85,55.2,241,9,21,3,61
Victor Alcantara,DET,4.85,42.2,182,8,15,2,24
Dan Otero,CLE,4.85,29.2,131,6,3,1,16
Adam Plutko,CLE,4.86,109.1,462,22,26,4,78
Tim Melville,COL,4.86,33.1,143,9,14,1,24
Chasen Bradford,SEA,4.86,16.2,69,6,4,0,11
Tyler Alexander,DET,4.86,53.2,235,9,7,2,47
Genesis Cabrera,STL,4.87,20.1,99,2,11,2,19
Derek Law,TOR,4.9,60.2,285,8,40,3,67
Allen Webster,CHC,4.91,11,52,2,5,1,9
Robby Scott,ARI,4.91,7.1,37,1,7,0,9
Andrew Heaney,LAA,4.91,95.1,409,20,30,7,118
Vince Velasquez,PHI,4.91,117.1,516,26,43,9,130
Dario Agrazal,PIT,4.91,73.1,321,15,18,10,41
J.A. Happ,NYY,4.91,161.1,678,34,49,5,140
Blake Treinen,OAK,4.91,58.2,266,9,37,1,59
Tim Mayza,TOR,4.91,51.1,227,8,27,1,55
Tim Peterson,NYM,4.91,7.1,35,1,7,1,3
Asher Wojciechowski,BAL,4.92,82.1,361,17,28,9,80
Shawn Kelley,TEX,4.94,47.1,205,12,11,2,43
Mike Montgomery,- - -,4.95,91,402,18,34,4,69
CC Sabathia,NYY,4.95,107.1,468,27,39,3,107
Kyle Crick,PIT,4.96,49,226,10,35,7,61
Kolby Allard,TEX,4.96,45.1,208,3,19,2,33
Pedro Strop,CHC,4.97,41.2,178,6,20,5,49
Dan Winkler,ATL,4.98,21.2,93,5,11,1,22
Ryan Tepera,TOR,4.98,21.2,91,5,8,0,14
Joe Harvey,- - -,5,18,84,3,13,2,17
Pat Neshek,PHI,5,18,79,5,2,0,9
Zac Rosscup,- - -,5,18,94,2,19,0,26
