Name,Team,xERA,FIP,xFIP
Jacob deGrom,NYM,2.43,1.99,2.6
Max Scherzer,WSN,2.55,2.65,3.06
Justin Verlander,HOU,2.33,2.78,3.03
Chris Sale,BOS,2.21,1.98,2.31
Gerrit Cole,HOU,3.08,2.7,3.04
Trevor Bauer,CLE,2.78,2.44,3.14
Patrick Corbin,ARI,3.29,2.47,2.61
Aaron Nola,PHI,2.72,3.01,3.21
Corey Kluber,CLE,2.98,3.12,3.08
Luis Severino,NYY,3.73,2.95,3.1
Carlos Carrasco,CLE,3.12,2.94,2.9
Blake Snell,TBR,3.17,2.95,3.16
Miles Mikolas,STL,3.37,3.28,3.67
Zack Wheeler,NYM,3.2,3.25,3.81
Mike Clevinger,CLE,3.29,3.52,3.86
Noah Syndergaard,NYM,2.92,2.8,3.29
German Marquez,COL,3.27,3.4,3.1
Kyle Freeland,COL,3.7,3.67,4.22
Jameson Taillon,PIT,3.37,3.46,3.58
Mike Foltynewicz,ATL,3.15,3.37,3.77
James Paxton,SEA,3.39,3.24,3.02
Blake Treinen,OAK,2.09,1.82,2.42
Marco Gonzales,SEA,4.06,3.43,3.59
Edwin Diaz,SEA,1.93,1.61,1.78
Kyle Hendricks,CHC,3.68,3.78,3.87
Clayton Kershaw,LAD,3.27,3.19,3.19
Dallas Keuchel,HOU,3.57,3.69,3.84
Walker Buehler,LAD,2.65,3.04,3.21
Jose Berrios,MIN,3.42,3.9,3.89
J.A. Happ,- - -,3.81,3.98,3.88
Andrew Heaney,LAA,4.06,3.99,3.68
Nick Pivetta,PHI,3.34,3.8,3.42
Charlie Morton,HOU,3.37,3.59,3.42
Zack Greinke,ARI,3.81,3.71,3.44
Lance Lynn,- - -,4.03,3.84,3.98
Trevor Williams,PIT,3.98,3.86,4.54
Shane Bieber,CLE,4.12,3.23,3.3
Vince Velasquez,PHI,3.68,3.75,4.12
Jose Leclerc,TEX,1.86,1.9,3.1
Brad Keller,KCR,3.7,3.55,4.26
Josh Hader,MIL,2.25,2.23,2.05
Kyle Gibson,MIN,4.24,4.13,3.91
Chris Archer,- - -,4.27,3.75,3.59
Jake Odorizzi,MIN,4.48,4.2,4.87
Mike Minor,TEX,4.3,4.43,4.53
Anibal Sanchez,ATL,3.08,3.62,3.81
Kenta Maeda,LAD,3.17,3.22,3.37
Lance McCullers Jr.,HOU,3.73,3.5,3.43
Jon Gray,COL,3.89,4.08,3.47
Rick Porcello,BOS,4.03,4.01,3.87
David Price,BOS,4.15,4.02,3.95
Masahiro Tanaka,NYY,3.78,4.01,3.42
Tyler Skaggs,LAA,3.84,3.63,3.79
Stephen Strasburg,WSN,3.92,3.62,3.28
Alex Wood,LAD,3.42,3.53,3.72
Zack Godley,ARI,4.73,3.82,3.96
Derek Holland,SFG,4.03,3.87,4.07
Kevin Gausman,- - -,4.76,4.32,4.19
Reynaldo Lopez,CHW,4.83,4.63,5.22
Mike Leake,SEA,5.09,4.14,4.15
Jack Flaherty,STL,3.2,3.86,3.58
Zach Eflin,PHI,3.44,3.8,4.02
Jhoulys Chacin,MIL,4.24,4.03,4.47
CC Sabathia,NYY,3.44,4.16,4.3
Craig Stammen,SDP,2.57,2.19,2.97
Joe Musgrove,PIT,3.32,3.59,3.92
Cole Hamels,- - -,4.63,4.49,3.95
Nathan Eovaldi,- - -,3.29,3.6,3.67
Matthew Boyd,DET,3.42,4.45,4.72
Luis Castillo,CIN,4.27,4.32,3.69
Gio Gonzalez,- - -,4.66,4.16,4.44
Ross Stripling,LAD,2.74,3.42,2.99
Tanner Roark,WSN,4.3,4.27,4.42
Carlos Martinez,STL,3.73,3.53,4.42
Felipe Vazquez,PIT,2.8,2.43,3.06
Eduardo Rodriguez,BOS,3.68,3.65,3.9
Jose Alvarado,TBR,2.83,2.27,3.15
Will Smith,SFG,1.98,2.07,2.76
Trevor Cahill,OAK,3.95,3.54,3.8
Jake Arrieta,PHI,4.09,4.26,4.08
Hyun-Jin Ryu,LAD,3.01,3,3.11
Sean Newcomb,ATL,3.73,4.14,4.33
Sean Doolittle,WSN,1.77,1.89,2.68
Joakim Soria,- - -,2.8,2.44,3.35
Adam Ottavino,COL,2.18,2.74,3.13
Dereck Rodriguez,SFG,3.7,3.74,4.56
Taylor Rogers,MIN,2.37,2.33,2.94
Jeurys Familia,- - -,3.12,2.65,3.53
Jon Lester,CHC,4.99,4.39,4.43
Mychal Givens,BAL,3.15,3.07,4.11
Aroldis Chapman,NYY,2.45,2.09,2.58
Tony Watson,SFG,3.05,2.45,3.09
Tyler Anderson,COL,3.6,4.57,4.21
Ryan Pressly,- - -,2.27,2.47,2.58
Sean Manaea,OAK,4.45,4.26,4.32
Kirby Yates,SDP,2.65,2.54,2.64
Rich Hill,LAD,3.87,3.97,3.7
Jeremy Jeffress,MIL,2.8,2.78,2.86
Dellin Betances,NYY,2.27,2.47,1.95
Ryan Borucki,TOR,4.27,3.8,4.62
Clay Buchholz,ARI,3.84,3.47,4.01
Chad Green,NYY,3.55,2.86,3.19
Jose Urena,MIA,4.09,4.17,4.32
Matt Harvey,- - -,4.27,4.57,4.21
Robbie Erlin,SDP,3.52,3.31,3.41
Wade LeBlanc,SEA,4.27,4.28,4.47
Jose Quintana,CHC,4.27,4.43,4.18
Seth Lugo,NYM,3.01,3.17,3.48
Sonny Gray,NYY,4.3,4.17,4.1
Junior Guerra,MIL,4.12,4.24,4.23
Alex Cobb,BAL,4.89,4.8,4.47
Madison Bumgarner,SFG,4.42,3.99,4.32
Jakob Junis,KCR,4.39,4.64,4.13
Mike Montgomery,CHC,4.36,3.94,4.29
Michael Fulmer,DET,4.57,4.52,4.29
Mike Fiers,- - -,4.79,4.75,4.51
Felix Pena,LAA,3.76,4.05,3.97
Jaime Barria,LAA,4.6,4.58,4.99
Marcus Stroman,TOR,4.33,3.91,3.84
David Robertson,NYY,3.29,2.97,3.09
Joe Jimenez,DET,3.24,2.91,3.82
Keone Kela,- - -,3.12,2.97,3.31
A.J. Minter,ATL,3.39,2.72,3.62
Craig Kimbrel,BOS,2.89,3.13,3.13
Collin McHugh,HOU,3.03,2.72,3.26
Wade Miley,MIL,3.87,3.59,4.3
Jesse Chavez,- - -,3.29,3.54,3.41
Jace Fry,CHW,3.05,2.67,2.95
Blaine Hardy,DET,3.44,3.98,4.52
Richard Rodriguez,PIT,2.53,2.6,3.47
Seranthony Dominguez,PHI,2.7,2.85,3.04
Luke Weaver,STL,4.73,4.45,4.46
Jeremy Hellickson,WSN,4.3,4.22,4.27
Jared Hughes,CIN,2.83,3.28,3.39
Dylan Covey,CHW,4.66,4.39,4.31
Danny Duffy,KCR,5.13,4.7,4.92
Trevor Richards,MIA,4.36,4.05,4.3
Hector Rondon,HOU,3.15,2.79,3.39
Scott Oberg,COL,3.57,2.87,2.83
Jose Alvarez,LAA,3.49,3.05,3.98
Ivan Nova,PIT,4.63,4.57,4.28
Matt Barnes,BOS,2.98,2.71,2.83
Jonathan Holder,NYY,3.57,3.04,4.63
James Shields,CHW,5.26,5.09,5.09
Brad Hand,- - -,3.2,3.2,2.97
Ryne Stanek,TBR,3.2,3.55,3.98
Yonny Chirinos,TBR,4.6,3.51,4.04
Dan Winkler,ATL,3.6,2.76,3.7
Caleb Smith,MIA,4.3,3.96,4.42
Freddy Peralta,MIL,3.62,3.72,4.33
Andrew Suarez,SFG,4.63,4.3,3.77
Carl Edwards Jr.,CHC,3.34,2.93,4.11
Roberto Osuna,- - -,3.98,2.45,3.72
Will Harris,HOU,3.44,2.44,2.77
Seunghwan Oh,- - -,2.76,3.29,3.87
John Gant,STL,4.01,4.07,4.66
Reyes Moronta,SFG,2.57,3.24,3.99
David Hernandez,CIN,3.24,3.38,4.12
Antonio Senzatela,COL,4.33,4.17,4.43
Diego Castillo,TBR,3.27,3.3,3.38
Wei-Yin Chen,MIA,3.42,4.43,4.73
Ian Kennedy,KCR,4.99,4.61,4.64
Shohei Ohtani,LAA,3.39,3.57,3.53
Oliver Perez,CLE,1.91,1.74,2.56
Garrett Richards,LAA,4.03,4.13,3.62
Dylan Floro,- - -,2.63,3.08,3.74
Tyson Ross,- - -,4.45,4.39,4.25
Kyle Crick,PIT,2.96,3.14,4
Joey Lucchesi,SDP,4.09,4.31,3.45
Dylan Bundy,BAL,4.39,5.17,4.28
Jordan Zimmermann,DET,4.45,4.88,4.35
Ty Blach,SFG,4.63,3.84,4.18
Alex Colome,- - -,3.65,3.44,3.44
Jason Hammel,KCR,5.77,4.55,4.98
Alex Claudio,TEX,4.21,3.42,3.58
Roenis Elias,SEA,3.57,3.08,4.97
Corey Knebel,MIL,3.27,3.03,2.4
Luis Avilan,- - -,3.17,3.09,4.02
Carlos Rodon,CHW,4.15,4.95,5.4
Andrew Chafin,ARI,3.62,2.65,3.69
Zach Duke,- - -,2.89,3.01,3.74
Steve Cishek,CHC,2.89,3.45,3.91
Robbie Ray,ARI,4.01,4.31,3.77
Frankie Montas,OAK,5.16,3.9,4.6
Matt Strahm,SDP,3.39,3.36,3.84
Brett Anderson,OAK,4.27,4.17,3.91
Adam Kolarek,TBR,3.01,2.58,4.02
Pedro Strop,CHC,3.42,3.43,4.08
Ryan Yarbrough,TBR,4.27,4.19,4.41
Jose Castillo,SDP,2.25,2.64,3.13
Steven Matz,NYM,3.81,4.62,4.13
Brent Suter,MIL,4.18,4.49,4.07
Sal Romano,CIN,4.73,4.95,4.68
Tony Sipp,HOU,2.78,2.41,3.7
Richard Bleier,BAL,3.29,2.7,4.02
Eric Lauer,SDP,4.3,4.51,4.51
Tyler Glasnow,- - -,4.01,4,3.47
Wade Davis,COL,2.51,3.65,3.63
Anthony DeSclafani,CIN,4.09,4.83,3.86
Michael Wacha,STL,5.09,4.22,4.12
Domingo German,NYY,3.65,4.39,3.94
Ty Buttrey,LAA,4.45,1.63,2.54
Sam Gaviglio,TOR,4.57,4.69,4.16
Pedro Baez,LAD,2.89,3.16,4.11
Chris Stratton,SFG,5.41,4.48,4.43
Aaron Bummer,CHW,3.92,2.4,2.83
Austin Gomber,STL,5.66,4.03,4.51
Juan Minaya,CHW,3.12,3.57,4.33
Ken Giles,- - -,3.73,3.08,3.27
Juan Nicasio,SEA,3.1,2.99,3.18
Victor Arano,PHI,3.49,3.36,3.94
Brad Brach,- - -,3.87,3.67,4.22
Julio Teheran,ATL,4.45,4.83,4.72
Edwin Jackson,OAK,5.19,4.65,4.88
Paul Fry,BAL,3.68,3.11,3.73
Adam Cimber,- - -,2.39,3.42,3.51
Tommy Hunter,PHI,3.76,3.63,4.01
Tanner Scott,BAL,4.01,3.4,2.96
Ryan Brasier,BOS,2.59,2.83,3.78
Edgar Santana,PIT,4.09,3.58,3.93
Drew VerHagen,DET,3.01,3.84,4.33
John Brebbia,STL,2.92,3.02,3.79
Matt Shoemaker,LAA,5.44,3.35,3.64
Chris Martin,TEX,4.3,3.52,3.63
Fernando Romero,MIN,4.39,4.35,4.55
Brandon Morrow,CHC,4.06,2.97,3.19
Daniel Ponce de Leon,STL,3.78,3.34,4.36
Andrew Cashner,BAL,5.59,5.32,5.19
Aaron Sanchez,TOR,5.33,4.74,4.98
Nick Vincent,SEA,3.1,3.75,4.51
Lou Trivino,OAK,3.55,3.69,3.53
Matt Grace,WSN,3.29,3.4,3.88
Luis Garcia,PHI,3.87,3.51,3.64
Mike Soroka,ATL,4.7,2.85,3.63
Joe Kelly,BOS,4.03,3.57,4.04
Yusmeiro Petit,OAK,3.6,3.92,4.2
Robert Stock,SDP,2.8,2.71,3.92
Jordan Lyles,- - -,3.62,4.09,4.08
Ryan Buchter,OAK,3.47,3.54,4.53
Cody Reed,CIN,3.29,3.91,3.51
Sam Dyson,SFG,3.27,3.47,3.61
Jake Diekman,- - -,3.87,3.74,4.13
Shane Carle,ATL,4.15,3.54,4.39
Xavier Cedeno,- - -,3.22,2.95,3.5
Phil Maton,SDP,2.98,3.25,4.31
Chris Bassitt,OAK,3.95,3.98,4.52
Justin Wilson,CHC,4.01,3.64,4.05
Clayton Richard,SDP,5.26,4.68,4.24
Brad Peacock,HOU,3.37,3.47,2.82
Edubray Ramos,PHI,2.49,3.54,4.37
Heath Fillmyer,KCR,4.57,4.75,4.6
Tim Hill,KCR,2.83,3.51,3.31
Tony Cingrani,LAD,1.79,2.32,2.49
Daniel Mengden,OAK,5.41,4.69,4.7
Paul Blackburn,OAK,3.98,3.59,4.39
Amir Garrett,CIN,3.7,3.89,3.81
Justin Anderson,LAA,3.32,3.83,4.29
Trevor May,MIN,2.96,3.08,2.46
Chad Kuhl,PIT,5.92,4.7,4.33
James Pazos,SEA,3.47,3.6,4.15
Tyler Clippard,TOR,3.27,4.24,4.28
Sergio Romo,TBR,3.24,4.04,3.9
Wander Suero,WSN,4.73,3.48,4.33
Drew Steckenrider,MIA,3.42,3.62,4.03
Zach Davies,MIL,4.48,4.39,4.34
Shawn Kelley,- - -,2.47,3.71,4.15
Spencer Turnbull,DET,4.09,2.85,3.37
Oliver Drake,- - -,3.73,3.24,3.51
Fernando Rodney,- - -,3.95,4.03,4.08
Brandon Woodruff,MIL,3.49,3.3,3.36
Kelvin Herrera,- - -,3.76,3.95,4.31
Michael Lorenzen,CIN,4.3,4.16,4.46
Jordan Hicks,STL,3.44,3.74,4.26
Francisco Liriano,DET,5.41,5.11,4.71
Hunter Wood,TBR,3.73,3.7,3.92
Adam Wainwright,STL,3.98,4.28,4.26
Taylor Cole,LAA,2.87,3.33,3.35
Jordan Montgomery,NYY,3.6,4.22,4.67
Hector Velazquez,BOS,4.76,4.15,4.63
Alec Mills,CHC,2.49,2.49,3.15
Marco Estrada,TOR,4.54,5.44,5.79
Bartolo Colon,TEX,5.62,5.47,4.67
Touki Toussaint,ATL,4.3,3.78,4.24
Jonathan Loaisiga,NYY,4.57,3.53,2.95
Luis Perdomo,SDP,4.86,4.26,4.65
Darren O'Day,BAL,2.53,3.46,3.49
Yovani Gallardo,- - -,5.81,5.42,5.29
Max Fried,ATL,4.33,3.67,3.24
Luis Cessa,NYY,4.54,3.74,3.84
Adam Conley,MIA,3.87,3.6,3.84
Doug Fister,TEX,5.48,5.25,4.56
Pablo Lopez,MIA,4.06,4.49,4.15
Adam Morgan,PHI,3.42,3.79,3.81
Josh James,HOU,2.98,3.51,3.46
Silvino Bracho,ARI,3.47,3.26,4.18
Raisel Iglesias,CIN,4.06,4.23,3.53
Greg Holland,- - -,3.95,3.83,4.87
Artie Lewicki,DET,6.4,4.12,4.48
Scott Alexander,LAD,3.17,3.57,3.31
Tyler Mahle,CIN,4.92,5.25,4.45
Robert Gsellman,NYM,3.32,3.95,4.22
Kohl Stewart,MIN,4.48,3.92,4.88
Nick Wittgren,MIA,3.68,3.13,4.56
Tyler Olson,CLE,2.96,3.45,2.94
Daniel Norris,DET,5.73,4.63,4.22
Mark Melancon,SFG,5.48,3.39,3.91
Andrew Miller,CLE,3.47,3.51,3.68
Tim Mayza,TOR,2.89,3.36,3.98
Ryan Tepera,TOR,3.57,4.17,4.02
Pat Neshek,PHI,2.98,3.61,4.99
Tony Barnette,TEX,3.03,2.97,3.3
Kenley Jansen,LAD,2.85,4.03,3.56
Archie Bradley,ARI,3.29,3.71,3.57
Josh Fields,LAD,3.47,3.62,4.61
Luke Jackson,ATL,3.87,3.55,3.94
Jonny Venters,- - -,3.39,3.45,3.8
Ariel Jurado,TEX,6.08,5.01,5.04
Cam Bedrosian,LAA,4.83,4.11,4.19
T.J. McFarland,ARI,3.62,3.63,3.78
Jacob Barnes,MIL,3.78,3.72,4
Bruce Rondon,CHW,4.79,3.73,4.74
Adalberto Mejia,MIN,4.63,4.06,5.4
Brian Johnson,BOS,4.63,4.68,4.77
Drew Anderson,PHI,4.6,2.37,4.72
Daniel Stumpf,DET,4.15,4.18,4.46
Aaron Loup,- - -,4.27,3.61,3.72
Yefry Ramirez,BAL,4.36,5.29,5.25
Sam Freeman,ATL,3.78,3.66,3.83
Erick Fedde,WSN,5.73,4.71,3.83
Yoshihisa Hirano,ARI,4.12,3.69,4.01
Arodys Vizcaino,ATL,3.76,3.76,4.21
Jeanmar Gomez,CHW,5.13,3.88,4.24
Drew Smith,NYM,4.3,3.66,4.91
Kevin McCarthy,KCR,3.87,4.06,3.63
Austin Davis,PHI,3.15,3.68,3.85
Glenn Sparkman,KCR,4.03,4.02,4.73
Mike Mayers,STL,4.18,3.95,3.95
Johnny Cueto,SFG,4.27,4.71,4.52
Tommy Milone,WSN,4.73,5.1,4.46
Jesse Biddle,ATL,4.03,3.88,3.57
Anthony Banda,TBR,3.98,3.3,3.99
Erik Goeddel,- - -,2.49,3.9,3.97
Felix Hernandez,SEA,5.3,5.18,4.65
Adam Warren,- - -,4.89,3.94,4.31
Kyle Crockett,CIN,5.55,2.84,3.04
Taylor Williams,MIL,3.95,3.95,4.1
Marcus Walden,BOS,3.6,2.07,2.97
Yency Almonte,COL,3.49,2.96,3.08
Jorge Lopez,- - -,5.02,4.48,4.72
Alex Wilson,DET,3.98,4.28,4.09
Brandon Kintzler,- - -,4.92,4.1,4.5
Yu Darvish,CHC,4.51,4.86,4.24
Chaz Roe,TBR,3.6,4.04,3.83
Chase Anderson,MIL,4.45,5.22,4.79
Daniel Zamora,NYM,1.63,2.38,2.41
Jeffrey Springs,TEX,4.63,4.25,4.75
Scott Barlow,KCR,4.54,3.49,3.63
Anthony Bass,CHC,4.01,2.77,2.89
Ryan Madson,- - -,3.76,3.98,3.97
Chad Bettis,COL,4.89,5.07,4.76
Caleb Ferguson,LAD,3.42,3.79,2.95
Ryan Dull,OAK,4.18,3.87,4.29
Caleb Frare,CHW,3.1,2.73,4.38
Hector Neris,PHI,3.76,4.04,2.71
John Axford,- - -,3.39,3.98,3.86
Austin Bibens-Dirkx,TEX,5.23,5.56,5.02
Roberto Gomez,SFG,3.08,2.09,3.86
Keynan Middleton,LAA,4.18,3.78,4.82
Jason Vargas,NYM,4.24,5.02,4.42
Thomas Pannone,TOR,3.95,5.11,5.57
Eric Skoglund,KCR,5.23,5.06,4.86
Brandon McCarthy,ATL,4.73,4.79,3.76
Sean Reid-Foley,TOR,4.27,4.96,4.21
J.B. Wendelken,OAK,2.43,3.16,4.56
Shawn Armstrong,SEA,3.12,3.23,4.03
Andrew Triggs,OAK,5.23,4.81,4.32
Bobby Poyner,BOS,3.44,4.01,3.9
Matt Moore,TEX,5.77,5.25,5.06
Michael Feliz,PIT,5.19,4.13,4.33
Joe Smith,HOU,3.52,4.06,3.69
Trevor Oaks,KCR,7.26,3.97,4.95
Ben Lively,- - -,6.52,4.88,5.28
James Norwood,CHC,3.76,2.71,5.41
Steven Wright,BOS,3.95,4.37,4.67
Dominic Leone,STL,4.06,3.62,3.78
Sam Tuivailala,- - -,3.87,3.73,4.1
Corbin Burnes,MIL,3.76,3.79,3.77
Miguel Diaz,SDP,3.01,3.27,3.56
Jerad Eickhoff,PHI,4.57,1.47,0.89
DJ Johnson,COL,2.89,1.27,2.57
Austin Pruitt,TBR,3.98,3.99,4.51
Brad Wieck,SDP,2.14,2.16,2.19
Odrisamer Despaigne,- - -,5.66,4.31,4.46
Casey Kelly,SFG,4.18,4.22,4.45
Sandy Alcantara,MIA,4.15,4.75,5.16
Ricardo Rodriguez,TEX,7.08,2.71,4.45
Stephen Tarpley,NYY,3.6,2.27,2.82
Mike Morin,SEA,3.17,0.91,2.15
Bud Norris,STL,3.32,3.99,3.65
Taijuan Walker,ARI,6.56,3.93,4.45
Cory Gearrin,- - -,4.57,4.31,4.34
C.D. Pelham,TEX,5.26,2.9,3.76
Drew Rucinski,MIA,3.62,3.81,4.76
Dan Jennings,MIL,4.73,4.09,4.04
Matt Wisler,- - -,5.16,4.69,4.52
Evan Marshall,CLE,5.3,2.73,3.44
Louis Coleman,DET,3.57,4.58,4.89
Zack Britton,- - -,4.03,4.22,3.75
Nate Jones,CHW,5.09,4.56,4.7
Carson Smith,BOS,3.52,3.72,3.17
Paul Sewald,NYM,3.87,4.23,4.67
Julio Urias,LAD,0.92,-0.34,0.49
Dakota Hudson,STL,3.55,3.86,4.76
Steven Okert,SFG,0.88,2.75,3.23
Heath Hembree,BOS,3.24,4.19,3.79
Blake Parker,LAA,4.33,4.4,4.04
Ariel Miranda,SEA,5.41,3.56,4.88
Matthew Festa,SEA,6.32,3.28,5.46
Bryse Wilson,ATL,6.48,4.02,5.2
Kevin Shackelford,CIN,5.09,3.29,5.14
Gabriel Moya,MIN,3.22,4.76,4.7
Colten Brewer,SDP,4.96,3.26,4.63
Buck Farmer,DET,4.15,4.46,5.17
Miguel Socolovich,ATL,3.52,2.76,5.07
Rowan Wick,SDP,3.65,3.4,4.42
Adrian Houser,MIL,4.03,3.75,5.8
Nick Gardewine,TEX,4.76,2.16,4.47
John Curtiss,MIN,5.7,2.85,5.19
Brian Flynn,KCR,5.3,4.28,5
Chih-Wei Hu,TBR,3.62,4.01,4.29
Yohander Mendez,TEX,3.7,5.37,5.87
Liam Hendriks,OAK,3.42,4.33,4.56
Mike Wright Jr.,BAL,5.41,4.79,4.8
Santiago Casilla,OAK,4.66,4.05,5.85
Pat Venditte,LAD,2.72,3.88,5.19
Tyler Beede,SFG,4.03,4.33,5.63
Chase De Jong,MIN,3.95,4.92,5.14
Cory Mazzoni,CHC,4.01,3.28,4.42
JT Chargois,LAD,2.92,3.87,2.98
