Name,Team,xERA,FIP,xFIP
Enyel De Los Santos,PHI,4.21,4.37,4.31
Victor Alcantara,DET,3.62,4.53,3.96
Jake Faria,TBR,5.55,5.08,5.42
Gregory Infante,CHW,7.31,4.49,6.33
Lucas Giolito,CHW,5.23,5.56,5.46
Kris Medlen,ARI,5.3,4.16,6.23
Ray Black,SFG,2.92,3.98,3.45
Tommy Kahnle,NYY,5.02,4.19,4.29
Scott Copeland,NYM,2.7,0.16,0.16
Framber Valdez,HOU,3.2,4.65,4.26
Dennis Santana,LAD,7.83,2.62,3.07
Rhiner Cruz,TOR,4.18,2.56,3.55
Mike Hauschild,TOR,10.12,4.12,6.3
Chad Sobotka,ATL,4.15,3.93,3.38
Adam McCreery,ATL,4.39,-0.84,0.81
David Hess,BAL,4.66,5.8,5.51
Alec Asher,MIL,3.6,2.83,5.58
Andrew Vasquez,MIN,3.92,3.36,4.02
Chad Bell,DET,8.12,3.84,3.65
Brandon Dixon,CIN,1.03,1.66,5.38
Luiz Gohara,ATL,4.27,4.53,5.15
Alex Blandino,CIN,1.52,-0.84,-0.84
Jeff Hoffman,COL,5.13,4.43,5.19
Matt Davidson,CHW,3.52,2.83,3.93
Ian Krol,LAA,2.8,2.66,3.49
Alex Reyes,STL,7.13,4.41,6.06
Erik Kratz,MIL,3.78,2.83,3.93
Josh Rogers,BAL,6.78,5.65,6.11
Dan Straily,MIA,5.44,5.11,4.99
Jesus Sucre,TBR,5.26,3.16,8.12
Ryan Rua,TEX,0.97,1.16,1.16
Braden Shipley,ARI,8.17,3.76,5.41
Osmer Morales,LAA,5.41,3.16,3.16
Yoan Lopez,ARI,2.87,3.94,2.7
John Means,BAL,6.28,4.66,2.74
Danny Valencia,BAL,0,-2.84,-2.84
Casey Sadler,PIT,4.51,3.85,5
Alex Avila,ARI,1.63,3.16,6.46
Rob Whalen,SEA,6.32,3.91,5.56
Scott Kingery,PHI,,3.16,4.4
Brooks Pounders,COL,5.85,4.27,3.67
Chase d'Arnaud,SFG,1.77,3.16,8.12
Brandon Guyer,CLE,1.34,3.16,6.46
Ian Happ,CHC,6.52,3.16,4.81
Mitch Garver,MIN,14.35,3.16,4.81
Greg Garcia,STL,1.73,3.16,4.81
Daniel Robertson,TBR,3.62,3.16,6.46
Pablo Sandoval,SFG,0.93,3.16,3.16
Charlie Culberson,ATL,4.76,3.16,3.16
Carlos Tocci,TEX,0.74,3.16,8.12
Jimmie Sherfy,ARI,3.05,4.08,4.9
Eric Hanhold,NYM,8.48,4.02,6.14
Giovanny Gallegos,- - -,3.89,4.13,3.59
David Paulino,TOR,1.6,4.21,4.24
Phillip Ervin,CIN,0.1,3.16,3.16
Mark Reynolds,WSN,0.56,3.16,3.16
Anthony Rizzo,CHC,0.11,3.16,8.12
Rex Brothers,ATL,48.76,9.16,9.16
Zack Weiss,CIN,,35.16,10.81
Reymin Guduan,HOU,7.88,4.66,3.73
Josh Lucas,OAK,4.36,4.21,4.68
Wandy Peralta,CIN,5.41,4.55,5.58
Brandon Cumpton,TOR,13.04,4.36,7.33
Jeremy Bleich,OAK,14.35,6.16,11.12
Koda Glover,WSN,4.54,4.69,5.82
Jaime Garcia,- - -,4.83,5.16,5.03
Brandon Workman,BOS,3.98,4.42,4.25
Jake Thompson,PHI,4.48,4.26,5.19
Rob Scahill,CHW,2.59,4.96,6.61
Kendrys Morales,TOR,6.73,6.16,11.12
Aaron Brooks,OAK,2.63,4.66,5.9
Javy Guerra,MIA,4.6,4.2,4.45
Connor Sadzeck,TEX,4.54,5.52,7.29
Johnny Field,TBR,6.24,6.16,11.12
Cliff Pennington,CIN,10.25,7.16,8.81
Murphy Smith,TOR,7.49,4.96,6.94
Adrian Sampson,TEX,6.44,6.03,4.87
Jake Petricka,TOR,4.73,4.45,4.05
Joey Krehbiel,ARI,3.52,5.16,7.91
James Hoyt,HOU,4.51,12.16,12.16
Alex McRae,PIT,6,4.42,5.73
Luis Ortiz,BAL,6.82,7.02,10.56
Ryan Weber,TBR,4.09,4.47,6.33
Cory Spangenberg,SDP,7.08,7.66,10.14
Zac Rosscup,LAD,4.15,4.13,2.44
Matt Andriese,- - -,4.54,4.69,3.7
Jake Barrett,ARI,3.98,4.16,3.72
Miguel Almonte,LAA,5.7,4.73,4.76
Trey Wingenter,SDP,4.36,4.27,3.78
Mike Zagurski,MIL,7.63,5.16,6.81
Austin Voth,WSN,3.76,6,4.98
Jose Ruiz,CHW,3.7,5.47,3.99
Blake Wood,LAA,4.6,4.62,4.78
Tyler Kinley,- - -,4.73,5.62,5.05
Sam Howard,COL,4.3,5.66,8.55
Jose Fernandez,TOR,4.54,5.68,5.88
Daniel Corcino,LAD,3.84,5.66,7.73
Justin Miller,WSN,3.42,4.44,4.23
Kyle McGowin,WSN,5.3,6.42,5.18
Donnie Hart,BAL,6.04,5.02,5.56
Jose Ramirez,ATL,5.7,5.69,7.77
Shane Greene,DET,3.95,4.61,4.05
Jen-Ho Tseng,CHC,17.4,6.66,1.81
Matt Hall,DET,4.86,5.04,5.27
Nick Tropeano,LAA,4.99,5.52,4.71
Ben Taylor,CLE,4.3,5.33,2.65
Jerry Vasto,- - -,4.76,5.7,5.37
Justin Hancock,CHC,4.33,4.62,5.17
J.D. Davis,HOU,2.39,14.16,4.46
Bryan Holaday,MIA,5.48,8.66,7.12
Drew Butera,KCR,27.97,30.16,30.16
Homer Bailey,CIN,5.66,5.55,4.65
Rob Zastryzny,CHC,5.33,4.75,5.92
Jace Peterson,BAL,34.62,14.16,4.46
Josh Ravin,ATL,2.76,5.49,8.25
Taylor Guerrieri,TOR,4.15,5.02,4.87
Michael Kopech,CHW,8.28,6.16,4.95
Jake Jewell,LAA,13.93,6.66,8.31
Casey Lawrence,SEA,5.55,4.62,5.56
Martin Perez,TEX,5.41,5.72,4.98
Troy Scribner,ARI,8.64,5.89,6.79
Ryan LaMarre,MIN,107.42,22.66,8.12
Noe Ramirez,LAA,4.15,4.52,3.82
Zach McAllister,- - -,4.96,4.47,4.14
Carlos Gomez,TBR,20,39.16,44.12
Jorge De La Rosa,- - -,4.45,4.38,4.43
Tommy La Stella,CHC,7.73,12.91,8.12
Dean Deetz,HOU,3.2,7.06,5.14
Adam Liberatore,LAD,4.27,4.39,4.15
Victor Caratini,CHC,6.04,9.66,5.64
Pedro Florimon,PHI,9.82,11.16,7.96
Jake Smolinski,OAK,43.57,16.16,8.12
Carlos Ramirez,- - -,5.7,5.56,6.16
