Name,Team,FB%,Hard%
Jared Walsh,LAA,8.30%,33.30%
Zack Britton,NYY,9.50%,27.70%
Reggie McClain,SEA,9.90%,36.60%
Nathan Karns,BAL,12.50%,25.00%
Taylor Williams,MIL,10.60%,44.90%
Danny Hultzen,CHC,10.00%,20.00%
Tyler Rogers,SFG,14.30%,28.00%
Taylor Guilbeau,SEA,15.40%,27.50%
Zac Grotz,SEA,15.20%,37.00%
Cody Reed,CIN,17.60%,58.80%
Aaron Bummer,CHW,16.90%,25.10%
Jordan Hicks,STL,16.40%,22.40%
Aaron Loup,SDP,14.30%,42.90%
Donnie Hart,- - -,18.20%,36.40%
Framber Valdez,HOU,16.60%,38.00%
Randy Rosario,- - -,15.60%,40.00%
Mark Melancon,- - -,16.90%,38.30%
Scott Alexander,LAD,16.90%,42.40%
Joe Kelly,LAD,17.30%,42.40%
Dan Jennings,WSN,14.30%,40.00%
Junior Fernandez,STL,14.30%,39.30%
Adam Kolarek,- - -,19.00%,31.50%
T.J. McFarland,ARI,18.40%,42.80%
Jimmy Cordero,- - -,18.80%,27.70%
Eric Yardley,SDP,20.50%,36.60%
Emmanuel Clase,TEX,19.70%,36.40%
Dallas Keuchel,ATL,19.60%,36.80%
David Carpenter,TEX,15.40%,69.20%
Caleb Joseph,ARI,25.00%,25.00%
Chad Bettis,COL,20.30%,38.80%
Taylor Davis,CHC,16.70%,0.00%
James Pazos,COL,20.00%,36.00%
Daniel Robertson,TBR,0.00%,66.70%
Dillon Maples,CHC,22.70%,36.40%
James Bourque,WSN,25.00%,75.00%
Jake Jewell,LAA,21.30%,48.80%
Richard Bleier,BAL,20.30%,27.50%
Luke Jackson,ATL,22.00%,32.60%
Clay Holmes,PIT,22.10%,34.10%
Jeanmar Gomez,TEX,19.60%,39.30%
Brian Schlitter,OAK,22.60%,32.30%
Kevin McCarthy,KCR,21.60%,39.60%
Dakota Hudson,STL,21.30%,40.50%
Tyler Chatwood,CHC,19.40%,31.70%
Jared Hughes,- - -,22.40%,39.30%
Alex Claudio,MIL,22.30%,30.20%
Tayler Scott,- - -,21.90%,40.60%
Fernando Abad,SFG,24.30%,40.50%
Anthony Kay,TOR,20.50%,34.10%
Paul Fry,BAL,22.80%,26.10%
Ricardo Pinto,TBR,18.20%,36.40%
Zac Rosscup,- - -,22.40%,32.70%
Ranger Suarez,PHI,22.40%,38.70%
Paul Blackburn,OAK,21.40%,36.40%
Randy Dobnak,MIN,21.80%,42.50%
Max Fried,ATL,22.20%,38.20%
Jace Fry,CHW,23.70%,35.00%
Luke Gregerson,STL,20.80%,54.20%
Ryan Pressly,HOU,21.40%,36.50%
Kyle Ryan,CHC,24.70%,34.50%
Adam Cimber,CLE,23.70%,37.20%
Clayton Richard,TOR,23.70%,38.90%
Allen Webster,CHC,24.30%,35.10%
Jake Petricka,MIL,22.20%,29.60%
Will Harris,HOU,23.70%,41.20%
Brett Martin,TEX,23.40%,38.90%
Logan Allen,- - -,21.50%,46.30%
Jeremy Walker,ATL,25.00%,53.60%
Antonio Senzatela,COL,23.80%,38.40%
Taylor Cole,LAA,21.90%,36.10%
Dillon Tate,BAL,27.10%,23.70%
Tim Hill,KCR,26.20%,27.60%
Brusdar Graterol,MIN,22.20%,25.90%
Kyle Gibson,MIN,23.80%,37.10%
Brett Anderson,OAK,25.40%,40.20%
Tanner Scott,BAL,23.40%,43.80%
Logan Webb,SFG,23.10%,42.60%
Adrian Houser,MIL,25.50%,36.30%
Brandon Brennan,SEA,26.40%,30.40%
Tim Mayza,TOR,25.50%,37.10%
Luis Castillo,CIN,26.70%,37.30%
Marcus Stroman,- - -,26.10%,34.20%
Mike Soroka,ATL,25.30%,36.30%
Jake Arrieta,PHI,25.70%,38.30%
Jesus Sucre,BAL,33.30%,0.00%
Sam Freeman,LAA,22.20%,55.60%
Jonny Venters,- - -,32.00%,56.00%
Carlos Torres,DET,21.10%,42.10%
JC Ramirez,LAA,25.00%,35.70%
Carlos Martinez,STL,28.20%,38.10%
Luke Maile,TOR,25.00%,50.00%
Matt Bowman,CIN,27.60%,26.30%
Taylor Guerrieri,TEX,27.80%,38.90%
Duane Underwood Jr.,CHC,27.30%,35.30%
Brady Lail,NYY,28.60%,28.60%
Joe Mantiply,NYY,30.00%,50.00%
Drew Anderson,PHI,22.20%,27.80%
Jose De Leon,TBR,22.20%,22.20%
Bryan Abreu,HOU,25.00%,37.50%
Pedro Araujo,BAL,33.30%,66.70%
Tanner Anderson,OAK,26.60%,48.10%
Taylor Hearn,TEX,25.00%,0.00%
James Marvel,PIT,26.20%,34.30%
Hyun-Jin Ryu,LAD,25.40%,34.20%
Dan Otero,CLE,27.00%,36.00%
Marcus Walden,BOS,27.20%,31.80%
Tyson Ross,DET,26.50%,39.80%
Amir Garrett,CIN,28.10%,38.80%
Jordan Romano,TOR,27.50%,39.00%
Colten Brewer,BOS,26.40%,27.30%
Diego Castillo,TBR,29.90%,35.40%
Jon Gray,COL,26.50%,39.80%
Luis Perdomo,SDP,27.60%,38.50%
Sam Dyson,- - -,28.40%,29.20%
Austin Pruitt,TBR,27.50%,36.60%
Seranthony Dominguez,PHI,28.80%,27.90%
Zach Duke,CIN,25.40%,35.30%
Brandon Kintzler,CHC,29.20%,37.70%
Mike Montgomery,- - -,26.20%,45.90%
Matt Moore,DET,31.80%,17.40%
Anthony Bass,SEA,27.80%,29.70%
Erick Fedde,WSN,27.50%,35.30%
Justin Wilson,NYM,27.60%,30.70%
